****                   MendelIHT Version 1.4.1                  ****
****     Benjamin Chu, Kevin Keys, Chris German, Hua Zhou       ****
****   Jin Zhou, Eric Sobel, Janet Sinsheimer, Kenneth Lange    ****
****                                                            ****
****                 Please cite our paper!                     ****
****         https://doi.org/10.1093/gigascience/giaa044        ****

Initializing β to univariate regression values...
...completed in 206.2 seconds.

Running sparse Multivariate Gaussian regression
Number of threads = 36
Link functin = GLM.IdentityLink()
Sparsity parameter (k) = 197
Prior weight scaling = off
Doubly sparse projection = off
Debias = off
Max IHT iterations = 1500
Converging when tol < 0.0001 and iteration ≥ 10:

Iteration 127: loglikelihood = -176441.38539501466, backtracks = 1, tol = 0.0007275106052606761
Iteration 128: loglikelihood = -176438.7814831838, backtracks = 1, tol = 0.0007271417683035392
Iteration 129: loglikelihood = -176436.20186880918, backtracks = 1, tol = 0.0007259979191059967
Iteration 130: loglikelihood = -176433.6357773299, backtracks = 1, tol = 0.0007249165118477586
Iteration 131: loglikelihood = -176431.07986552245, backtracks = 1, tol = 0.0007236188387028165
Iteration 132: loglikelihood = -176428.53309502598, backtracks = 1, tol = 0.0007223075159481917
Iteration 133: loglikelihood = -176425.99512650954, backtracks = 1, tol = 0.0007209319880208137
Iteration 134: loglikelihood = -176423.46582794673, backtracks = 1, tol = 0.0007195431484673603
Iteration 135: loglikelihood = -176420.9451283074, backtracks = 1, tol = 0.0007181337453444582
Iteration 136: loglikelihood = -176418.43297590004, backtracks = 1, tol = 0.000716717554177663
Iteration 137: loglikelihood = -176415.92932686716, backtracks = 1, tol = 0.0007152946875542506
Iteration 138: loglikelihood = -176413.43414190397, backtracks = 1, tol = 0.0007138693993144581
Iteration 139: loglikelihood = -176410.9473849571, backtracks = 1, tol = 0.0007124425895625417
Iteration 140: loglikelihood = -176408.46902239625, backtracks = 1, tol = 0.0007110158537505442
Iteration 141: loglikelihood = -176405.99902232934, backtracks = 1, tol = 0.0007095898896165077
Iteration 142: loglikelihood = -176403.53735405538, backtracks = 1, tol = 0.0007081654375153473
Iteration 143: loglikelihood = -176401.08398763544, backtracks = 1, tol = 0.0007067429558671284
Iteration 144: loglikelihood = -176398.63889359104, backtracks = 1, tol = 0.0007053228493974791
Iteration 145: loglikelihood = -176396.20204269834, backtracks = 1, tol = 0.0007039054111897955
Iteration 146: loglikelihood = -176393.7734058607, backtracks = 1, tol = 0.0007024908836649917
Iteration 147: loglikelihood = -176391.352954034, backtracks = 1, tol = 0.0007010794535355542
Iteration 148: loglikelihood = -176388.94065819198, backtracks = 1, tol = 0.0006996712713831233
Iteration 149: loglikelihood = -176386.53648931585, backtracks = 1, tol = 0.0006982664552902183
Iteration 150: loglikelihood = -176384.14041839493, backtracks = 1, tol = 0.0006968650989734629
Iteration 151: loglikelihood = -176381.75241643994, backtracks = 1, tol = 0.0006954672756356024
Iteration 152: loglikelihood = -176379.3724544951, backtracks = 1, tol = 0.0006940730422368143
Iteration 153: loglikelihood = -176377.00050365756, backtracks = 1, tol = 0.0006926824423552946
Iteration 154: loglikelihood = -176374.63653508946, backtracks = 1, tol = 0.0006912955087706999
Iteration 155: loglikelihood = -176372.28052003315, backtracks = 1, tol = 0.0006899174543264443
Iteration 156: loglikelihood = -176369.9324298241, backtracks = 1, tol = 0.0006885434133724823
Iteration 157: loglikelihood = -176367.5922358983, backtracks = 1, tol = 0.0006871725286884938
Iteration 158: loglikelihood = -176365.2599098017, backtracks = 1, tol = 0.0006858048615690359
Iteration 159: loglikelihood = -176362.93542319874, backtracks = 1, tol = 0.0006844404640117678
Iteration 160: loglikelihood = -176360.61874787346, backtracks = 1, tol = 0.0006830793800343062
Iteration 161: loglikelihood = -176358.30985573595, backtracks = 1, tol = 0.0006817216467835432
Iteration 162: loglikelihood = -176356.0087188254, backtracks = 1, tol = 0.0006803672954709262
Iteration 163: loglikelihood = -176353.71530930867, backtracks = 1, tol = 0.0006790163521654385
Iteration 164: loglikelihood = -176351.42959948408, backtracks = 1, tol = 0.0006776688384672698
Iteration 165: loglikelihood = -176349.15156178147, backtracks = 1, tol = 0.0006763247720825415
Iteration 166: loglikelihood = -176346.88116876193, backtracks = 1, tol = 0.0006749841673155594
Iteration 167: loglikelihood = -176344.6183931157, backtracks = 1, tol = 0.0006736470354914441
Iteration 168: loglikelihood = -176342.36320766472, backtracks = 1, tol = 0.0006723133853206051
Iteration 169: loglikelihood = -176340.11558535945, backtracks = 1, tol = 0.0006709832232135809
Iteration 170: loglikelihood = -176337.87549927708, backtracks = 1, tol = 0.0006696565535547127
Iteration 171: loglikelihood = -176335.64292262343, backtracks = 1, tol = 0.0006683333789397935
Iteration 172: loglikelihood = -176333.41782872798, backtracks = 1, tol = 0.0006670137003837671
Iteration 173: loglikelihood = -176331.20019104469, backtracks = 1, tol = 0.0006656975175023299
Iteration 174: loglikelihood = -176328.98998315207, backtracks = 1, tol = 0.0006643848286713581
Iteration 175: loglikelihood = -176326.7871787462, backtracks = 1, tol = 0.000663075631167231
Iteration 176: loglikelihood = -176324.59175164602, backtracks = 1, tol = 0.0006617699212902967
Iteration 177: loglikelihood = -176322.40367578686, backtracks = 1, tol = 0.000660467694474205
Iteration 178: loglikelihood = -176320.22292522207, backtracks = 1, tol = 0.0006591689453827311
Iteration 179: loglikelihood = -176318.04947412066, backtracks = 1, tol = 0.0006578736679953099
Iteration 180: loglikelihood = -176315.88329676562, backtracks = 1, tol = 0.000656581855683651
Iteration 181: loglikelihood = -176313.7243675525, backtracks = 1, tol = 0.000655293501279194
Iteration 182: loglikelihood = -176311.5726609885, backtracks = 1, tol = 0.0006540085971338456
Iteration 183: loglikelihood = -176309.42815169186, backtracks = 1, tol = 0.0006527271351738179
Iteration 184: loglikelihood = -176307.29081438924, backtracks = 1, tol = 0.0006514491069480756
Iteration 185: loglikelihood = -176305.1606239157, backtracks = 1, tol = 0.0006501745036709975
